deep_end_lang_ex,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,,
option_on,On,,,,,,,,要得,,,,,
option_off,Off,,,,,,,,不要,,,,,
menu_yes,"TRUE or FALSE",,,,,,,,"是或否",,,,,
menu_no,"TRUE and FALSE",,,,,,,,"是和否",,,,,
menu_cancel,Nope,,,,,,,,我后悔了,,,,,
menu_paused,"Come on",,,,,,,,"我会等你的",,,,,
menu_continue,"Let's rock",,,,,,,,"继续受苦",,,,,
menu_newgame,"(R)",,,,,,,,"我不行了",,,,,
menu_progress,"See what you've done",,,,,,,,"看看你干了什么好事",,,,,
menu_mods,"Source of power",,,,,,,,"换点花样",,,,,
animal_ultimate_killer,"Invincible-Brave-Sexy-Mysterious-Charming-Energetic-Industrious-Strong-Gorgeous-Passionate-Terrible-Beautiful-Powerful Little Guy",,,,,,,,"无敌的 勇猛的 性感的 神秘的 迷人的 神气的 勤勉的 强势的 华丽的 激情的 可怕的 漂亮的 强大的 小朋友",,,,,
dde_gravity_potion,"Gravity Control!!!!!!!!!!!!!",,,,,,,,"掌握重力!",,,,,
ddde_gravity_potion,"!?ytivarg nwo ruoy lortnoc nac uoY",,,,,,,,"重力?重力! \n重力?重力! \n重力?重力! \n",,,,,
dde_laser_eye,"Laser Eye!!!!!!!!!!!!!",,,,,,,,"激光眼!",,,,,
ddde_laser_eye,"You feel your eyes full of pooooooooooooower!!!!!!!!!!!!!",,,,,,,,"我的眼睛会发激光! \n我的眼睛会发激光! 我的眼睛会发激光! \n我的眼睛会发激光! 我的眼睛会发激光! 我的眼睛会发激光! \n",,,,,
dde_hardener,"Indestructible!!!!!!!!!!!!!",,,,,,,,"坚不可摧!",,,,,
ddde_hardener,"Nothing-thing-thing-thing-thing-thing-thing can affect you.............",,,,,,,,"哦咦~ \n绝不认输! \n绝不认输! \n绝不认输! \n耶一耶~ \n",,,,,
action_duplicate,"Duplicate",,,,,,,,"二叉",,,,,
status_satiated00,":(",,,,,,,,"咕咕嘎嘎",,,,,
status_satiated01,":o",,,,,,,,"有点弱",,,,,
status_satiated02,":)",,,,,,,,"有点强",,,,,
status_satiated03,"Od",,,,,,,,",,,虽,,,",,,,,
status_satiated04,"No more!",,,,,,,,"抢救?!",,,,,
status_satiated05,"Stop!!!",,,,,,,,"我再也不会笑了",,,,,
status_satiated06,"Jesus...",,,,,,,,"男的来了女的来了",,,,,
deep_end_translations_ex,"Deep End",,,,,,,,"深渊",,,,,

